URL,Title,Brand,SKU,Inventory
https://www.batabd.com/collections/casual-shoes/products/north-star-flamengo-white-casual-sneaker-for-men,North Star FLAMENGO White Casual Sneaker for Men,North Star,8811142,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-favian-sneaker-for-men,North Star FAVIAN Sneaker for Men,North Star,8816327,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-remon-mens-casual-loafer-3,Bata REMON Men's Casual Loafer,Bata,8544154,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-favian-sneaker-for-men-1,North Star FAVIAN Sneaker for Men,North Star,8812327,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-driver-rubber-loafer-2,Bata DRIVER Rubber Loafer,Bata,8524031,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-zone-slip-on-shoe-for-men-1,Bata ZONE Slip-On Shoe for Men,Bata,8544092,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-expert-mt-slipon-shoe-for-men,Hush Puppies EXPERT MT SLIPON Shoe for Men,Hush Puppies,8062633,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-expert-mt-slipon-shoe-for-men-1,Hush Puppies EXPERT MT SLIPON Shoe for Men,Hush Puppies,8066633,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-3d-oxygen-urban-casual-lifestyle-sneakers-for-men-1,Bata 3D Oxygen Sirocco Man,Bata 3D,8219483,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-santiago-slip-on-sneaker-for-men,North Star SANTIAGO Slip-On Sneaker for Men,North Star,8819237,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-jacson-slip-on-sneaker-for-men,North Star JACSON Slip-On Sneaker for Men,North Star,8819974,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-bennet-pt-oxford-shoe-for-men,Hush Puppies BENNET PT OXFORD Shoe for Men,Hush Puppies,8066640,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-spark-laceup-sneaker-for-men-2,Hush Puppies SPARK LACEUP Sneaker for Men,Hush Puppies,8066632,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-the-good-low-top-earth-friendly-lace-up-sneaker-for-men-1,Hush Puppies THE GOOD LOW TOP Earth-Friendly Lace-Up Sneaker for Men,Hush Puppies,8061638,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-auston-casual-loafer-1,Bata AUSTON Casual Loafer,Bata,8516918,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-auston-casual-loafer,Bata AUSTON Casual Loafer,Bata,8514918,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-taylor-slipon-shoe-1,Hush Puppies TAYLOR SLIPON Shoe,Hush Puppies,8044546,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-edinburgh-outdoor-sneaker-1,Weinbrenner EDINBURGH Outdoor Sneaker,Weinbrenner,8216933,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-mack-half-moc,Bata MACK Half-Moc,Bata,8516924,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-edinburgh-outdoor-sneaker,Weinbrenner EDINBURGH Outdoor Sneaker,Weinbrenner,8214933,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-towson-high-cut-outdoor-sneaker-1,Weinbrenner TOWSON High-Cut Outdoor Sneaker,Weinbrenner,8216944,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-tokeo-casual-loafer-1,Bata Tokeo Casual Loafer,Bata,8544937,In stock
https://www.batabd.com/collections/casual-shoes/products/mens-casual-contemporary-beehive-sneaker-by-bata,Mens' Casual Contemporary Beehive Sneaker by Bata,Bata,8512921,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-outdoor-sneaker-for-men-1,Weinbrenner Outdoor Sneaker for Men,Weinbrenner,8219067,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-matrix-casual-shoe-2,Weinbrenner Matrix Casual Shoe,Weinbrenner,8214918,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-3d-energy-alfa-lifestyle-sneaker-for-men,Bata 3D Energy Alfa Lifestyle Sneaker for Men,Bata 3D,8216479,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-nadal-open-backed-sneaker,North Star Nadal Open-Backed Sneaker,North Star,8896422,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-mack-half-moc-1,Bata MACK Half-Moc,Bata,8514924,In stock
https://www.batabd.com/collections/casual-shoes/products/hush-puppies-stark-casual-shoe-1,Hush Puppies Stark Casual Shoe,Hush Puppies,8046660,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-jacson-sneaker,North Star JACSON Sneaker,North Star,8816974,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-alfa-3d-energy-lifestyle-sneakers-for-men-1,Bata 3D Energy Alfa Lifestyle Sneaker for Men,Bata 3D,8219467,In stock
https://www.batabd.com/collections/casual-shoes/products/mens-casual-open-back-moc-toe-slippers,Men's Casual Open Back Moc-toe Slippers,Bata,8514936,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-nadal-slip-on-casual-shoe-1,North Star Nadal Slip-On Casual Shoe,North Star,8899188,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-luthor-moccasin,Bata Luthor Moccasin,Bata,8514933,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-loafer,Weinbrenner Loafer,Weinbrenner,8516914,In stock
https://www.batabd.com/collections/casual-shoes/products/north-star-mens-casual-sneaker,North Star Men's Casual Sneaker,North Star,8819082,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-casual-moccasin-in-black-1,Bata Casual Moccasin in Black,Bata,8516933,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-mens-versace-loafer,Bata Men's Loafer,Bata,8549956,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-sharjah-boots-for-men,WEINBRENNER SHARJAH Boots for Men,Weinbrenner,8246075,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-casual-lace-up-shoe-for-men,WEINBRENNER Casual Lace-up Shoe for Men,Weinbrenner,8216921,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-high-cut-brown-shoe,Weinbrenner High-Cut Brown Shoe,Weinbrenner,8214920,In stock
https://www.batabd.com/collections/casual-shoes/products/champion-slip-on-sneaker-by-north-star,Champion Slip-On Sneaker by North Star,North Star,8896079,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-loafer-1,Weinbrenner Loafer,Weinbrenner,8514910,In stock
https://www.batabd.com/collections/casual-shoes/products/weinbrenner-sharjah-boots-for-men-1,WEINBRENNER SHARJAH Boots for Men,Weinbrenner,8244075,In stock
https://www.batabd.com/collections/casual-shoes/products/bata-alfa-3d-energy-lifestyle-sneakers-for-men,Bata 3D Energy Alfa Lifestyle Sneaker for Men,Bata 3D,8211467,In stock
